鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[1148.5413818359375, 542.2866821289062]","[1154.2906494140625, 525.0390014648438]","[1142.792236328125, 519.2897338867188]","[1407.2569580078125, 915.9868774414062]","[1091.049072265625, 507.7912902832031]","[981.8136596679688, 582.5313110351562]","[981.8136596679688, 576.7821044921875]","[1068.0521240234375, 674.5191040039062]","[1050.804443359375, 594.0298461914062]","[1068.0521240234375, 553.78515625]","[1062.3028564453125, 519.2897338867188]","[1068.0521240234375, 801.0021362304688]","[1045.05517578125, 881.4915161132812]","[1246.2783203125, 691.7667846679688]","[1263.526123046875, 726.2621459960938]","[1390.00927734375, 887.2406616210938]","[1407.2569580078125, 910.2376098632812]"
"[1148.8680419921875, 542.2221069335938]","[1154.6171875, 524.9745483398438]","[1143.118896484375, 519.225341796875]","[1407.5819091796875, 915.9199829101562]","[1091.3760986328125, 507.7269592285156]","[982.141357421875, 582.4664916992188]","[982.141357421875, 576.7173461914062]","[1068.3792724609375, 674.4536743164062]","[1051.1317138671875, 593.9649047851562]","[1068.3792724609375, 553.7205200195312]","[1062.630126953125, 519.225341796875]","[1068.3792724609375, 800.93603515625]","[1045.3824462890625, 881.4247436523438]","[1246.6043701171875, 691.7012329101562]","[1263.85205078125, 726.1964111328125]","[1390.334228515625, 887.1739501953125]","[1407.5819091796875, 910.1707153320312]"
"[1148.144287109375, 546.3515014648438]","[1153.8878173828125, 523.377197265625]","[1136.6571044921875, 517.6336059570312]","[1406.605224609375, 913.9404907226562]","[1084.96484375, 511.89007568359375]","[981.5805053710938, 580.81298828125]","[975.8369140625, 575.0693969726562]","[1050.50341796875, 672.7102661132812]","[1050.50341796875, 592.3001098632812]","[1067.734130859375, 552.0950927734375]","[1061.990478515625, 517.6336059570312]","[1067.734130859375, 793.3253784179688]","[1044.759765625, 879.4790649414062]","[1245.7850341796875, 689.9409790039062]","[1263.0157470703125, 724.4024047851562]","[1395.1181640625, 890.9662475585938]","[1406.605224609375, 913.9404907226562]"
"[1147.445556640625, 546.7483520507812]","[1153.22314453125, 523.6384887695312]","[1135.890625, 517.8610229492188]","[1031.896240234375, 540.9708862304688]","[1089.6708984375, 512.0835571289062]","[979.8991088867188, 581.4131469726562]","[974.1216430664062, 581.4131469726562]","[1055.006103515625, 679.6300659179688]","[1049.2286376953125, 592.9680786132812]","[1066.56103515625, 552.5258178710938]","[1060.7835693359375, 517.8610229492188]","[1072.3385009765625, 795.1793823242188]","[1049.2286376953125, 881.8414916992188]","[1245.66259765625, 691.1849975585938]","[1262.994873046875, 725.8497924804688]","[1390.09912109375, 887.6189575195312]","[1407.431640625, 910.7288208007812]"
"[1147.193603515625, 546.3193969726562]","[1152.9853515625, 523.1519165039062]","[1135.60986328125, 517.3600463867188]","[1031.3560791015625, 540.5275268554688]","[1089.27490234375, 511.5681457519531]","[985.0211791992188, 581.0706176757812]","[979.2293090820312, 575.2787475585938]","[1060.3154296875, 673.7405395507812]","[1048.731689453125, 592.6543579101562]","[1048.731689453125, 552.1112670898438]","[1060.3154296875, 517.3600463867188]","[1071.899169921875, 801.1616821289062]","[1048.731689453125, 882.2478637695312]","[1245.6552734375, 691.1160888671875]","[1263.0308837890625, 725.8673095703125]","[1390.4520263671875, 888.0396118164062]","[1407.82763671875, 911.2070922851562]"
"[1141.5673828125, 546.3828735351562]","[1147.364013671875, 523.1965942382812]","[1135.7708740234375, 517.4000244140625]","[1402.4127197265625, 917.3628540039062]","[1077.80517578125, 511.6034851074219]","[979.2637329101562, 581.1622314453125]","[973.4671630859375, 581.1622314453125]","[1048.8223876953125, 673.9072265625]","[1048.8223876953125, 592.75537109375]","[1066.212158203125, 552.179443359375]","[1060.41552734375, 517.4000244140625]","[1072.0086669921875, 801.4315795898438]","[1048.8223876953125, 882.58349609375]","[1245.905517578125, 691.2969360351562]","[1263.2952880859375, 726.0762939453125]","[1390.819580078125, 888.3800659179688]","[1408.209228515625, 911.5663452148438]"
"[1139.579833984375, 539.5248413085938]","[1139.579833984375, 522.0750122070312]","[1127.946533203125, 516.2583618164062]","[1401.327880859375, 917.60546875]","[1069.7802734375, 510.4417724609375]","[988.3475952148438, 586.0579223632812]","[970.8977661132812, 580.2412719726562]","[1046.5137939453125, 673.3071899414062]","[1040.697265625, 586.0579223632812]","[1005.7974853515625, 545.3414916992188]","[1052.3304443359375, 516.2583618164062]","[1069.7802734375, 795.4563598632812]","[1046.5137939453125, 882.7056884765625]","[1244.279052734375, 690.7571411132812]","[1261.7288818359375, 725.6567993164062]","[1389.694580078125, 888.5223388671875]","[1407.14453125, 911.788818359375]"
"[1137.553466796875, 540.4404296875]","[1137.553466796875, 523.1524047851562]","[1126.028076171875, 517.3897094726562]","[1402.6363525390625, 915.01416015625]","[1068.4012451171875, 505.8644104003906]","[999.249267578125, 580.7791137695312]","[964.6732788085938, 580.7791137695312]","[999.249267578125, 667.2192993164062]","[1033.8253173828125, 592.3045043945312]","[1068.4012451171875, 534.6777954101562]","[1051.11328125, 517.3897094726562]","[1074.1639404296875, 793.9981079101562]","[1045.3505859375, 880.4381103515625]","[1247.044189453125, 690.2699584960938]","[1258.569580078125, 724.8460083007812]","[1385.348388671875, 891.9635009765625]","[1408.3990478515625, 915.01416015625]"
"[1137.17138671875, 540.1065063476562]","[1142.9403076171875, 517.0307006835938]","[1125.633544921875, 517.0307006835938]","[1402.542236328125, 915.0869750976562]","[1067.9442138671875, 505.4928894042969]","[975.6414184570312, 586.2578735351562]","[964.103515625, 580.4889526367188]","[1056.4063720703125, 643.9472045898438]","[1039.099609375, 586.2578735351562]","[992.9481811523438, 545.8754272460938]","[1050.637451171875, 517.0307006835938]","[1073.713134765625, 793.9393920898438]","[1044.8685302734375, 880.4733276367188]","[1246.781005859375, 690.0986938476562]","[1258.3189697265625, 724.7122192382812]","[1385.2353515625, 892.0112915039062]","[1408.3111572265625, 915.0869750976562]"
"[1136.278564453125, 540.7483520507812]","[1130.551025390625, 517.8384399414062]","[1124.82373046875, 517.8384399414062]","[1399.74169921875, 884.3959350585938]","[1061.8216552734375, 506.3835754394531]","[1004.5470581054688, 586.5679931640625]","[964.454833984375, 580.8405151367188]","[998.8196411132812, 666.7523803710938]","[1033.184326171875, 592.2954711914062]","[1365.376953125, 861.4860229492188]","[1044.6392822265625, 517.8384399414062]","[1067.549072265625, 792.7565307617188]","[1044.6392822265625, 884.3959350585938]","[1245.100341796875, 689.6622314453125]","[1262.28271484375, 724.0270385742188]","[1394.01416015625, 895.8507690429688]","[1411.196533203125, 918.7606811523438]"
