gravity_angle,angle01,angle02,angle03,angle04,angle05,angle06,angle07,angle08,angle09,angle10,angle11,angle12,angle13,limb_angle01,limb_angle02,limb_angle03,limb_angle04,orient01,orient02,orient03
2.092586333,1.496937744,1.549596221,1.718300247,2.984098634,1.625937806,3.087425295,1.715337537,1.581546585,3.136111188,3.018643543,1.628609199,3.121915507,2.931805099,0.628790293,0.651636853,0.030704081,0.109500747,4.71238898,4.71238898,4.787151166
2.078441746,1.538705469,1.522873788,1.732044864,3.01183005,1.579056513,3.088234437,1.694449077,1.561763059,3.113913008,3.106700701,1.634964601,3.12152615,2.879049425,0.626996111,0.64516192,0.041586518,0.095801206,4.71238898,4.71238898,4.846910546
2.103223321,1.496759842,1.534829187,1.738928223,2.933819783,1.581542649,3.088624612,1.649512375,1.484628612,3.113502941,3.115524238,1.538491976,3.127152837,2.83780371,0.610720811,0.675018785,0.016373882,0.119117726,4.71238898,4.71238898,4.922091563
2.056277242,1.539560545,1.50696303,1.751111852,2.993951451,1.60723086,3.084792188,1.716589245,1.56744041,3.131815311,3.035583796,1.623159926,3.139964953,2.862350146,0.600758672,0.645191778,0.026199567,0.118618032,4.71238898,4.71238898,4.77877476
2.071937728,1.537548765,1.507152139,1.75181734,2.963928378,1.580354959,3.114559642,1.71497395,1.582739481,3.116529655,3.058441018,1.606333635,3.125916314,2.932576241,0.591813565,0.662215233,0.028326252,0.113014067,4.71238898,4.71238898,4.713985694
2.167468774,1.409785021,1.563543514,1.618252845,2.415459671,1.710451871,3.109001655,1.671092909,1.539891729,3.072048947,2.942984302,1.156915257,2.610707541,2.81229217,1.205172116,0.717377709,0.012453495,0.11943572,4.71238898,4.71238898,4.895739086
2.077139698,1.538617077,1.52281714,1.728147442,3.01690899,1.578857434,3.08862456,1.694504179,1.561897955,3.114041147,3.106983201,1.634870799,3.121615839,2.878639653,0.622539099,0.645139908,0.041592095,0.095794507,4.71238898,4.71238898,4.910340958
2.124789538,1.495714386,1.553210516,1.712394751,3.018451202,1.613298841,3.141129263,1.632979623,1.48533885,3.11275799,3.020605321,1.633514706,3.141584275,2.795027653,0.627610698,0.635540954,0.036378665,0.102135674,4.71238898,4.71238898,4.846342407
2.081414591,1.497233919,1.548108915,1.709849799,2.993896273,1.62793215,3.1129904,1.716529989,1.566329393,3.131373286,3.020842903,1.628152073,3.139979696,2.840514439,0.614034651,0.643317874,0.025703125,0.112377751,4.71238898,4.71238898,4.861479628
2.101718006,1.537982388,1.509313726,1.756813656,2.957870766,1.578408361,3.08913256,1.632892064,1.485094276,3.111711624,3.002551334,1.538327407,3.107671013,2.844077608,0.618750118,0.663391124,0.029384448,0.106835663,4.71238898,4.71238898,4.781564252
1.916785499,1.538022501,1.522571024,1.746573589,2.998534208,1.605505885,3.088793823,1.700513944,1.567981943,3.133034488,3.019751907,1.607039614,3.109021783,2.778702848,0.591126436,0.644682712,0.031827639,0.109193652,4.71238898,4.71238898,4.850583403
2.06457707,1.568987831,1.524140031,1.755428677,2.98943233,1.553694411,3.116168323,1.618565166,1.486347432,3.114165241,3.107951525,1.635547126,3.121866816,2.879094928,0.62698571,0.646498052,0.042002659,0.094962457,4.71238898,4.71238898,4.911379762
2.065306969,1.538383926,1.507745615,1.746888885,2.997854202,1.580088415,3.088157956,1.715036914,1.583019762,3.114936546,3.073101282,1.623041688,3.121260273,2.878851386,0.593087589,0.655442429,0.028773056,0.115101891,4.71238898,4.71238898,4.782599546
2.091125922,1.485294599,1.591638396,1.668436394,2.992424712,1.598859088,3.114346793,1.634742808,1.484345936,3.112074344,3.019457812,1.610441072,3.125746327,2.862061067,0.629366616,0.66185486,0.028839408,0.106537173,4.71238898,4.71238898,4.779007694
2.050878873,1.526058079,1.56700676,1.662071702,3.099580564,1.554851549,3.115782154,1.543694653,1.41176571,3.113513727,3.105585256,1.634315327,3.141079066,2.794338551,0.625211064,0.650598233,0.042397209,0.096355505,4.71238898,4.71238898,4.910135335
