鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[889.2819213867188, 578.5205688476562]","[873.5172729492188, 554.8736572265625]","[865.635009765625, 562.7559814453125]","[1417.3961181640625, 933.2243041992188]","[810.4588623046875, 594.2852172851562]","[865.635009765625, 665.2258911132812]","[818.3411865234375, 720.4020385742188]","[1007.5164794921875, 759.8135375976562]","[999.6341552734375, 783.4605102539062]","[960.22265625, 696.7550659179688]","[952.34033203125, 688.8728637695312]","[1046.927978515625, 822.8720092773438]","[1023.2810668945312, 893.8126831054688]","[1228.220947265625, 720.4020385742188]","[1228.220947265625, 744.0490112304688]","[1441.0430908203125, 933.2243041992188]","[1417.3961181640625, 933.2243041992188]"
"[873.4951171875, 584.6465454101562]","[857.3356323242188, 560.4074096679688]","[849.2559204101562, 568.4871215820312]","[1422.916015625, 940.1542358398438]","[800.7776489257812, 600.8059692382812]","[849.2559204101562, 673.5234985351562]","[808.8573608398438, 722.0017700195312]","[994.69091796875, 762.4004516601562]","[986.6112060546875, 778.5598754882812]","[954.2922973632812, 697.7626342773438]","[938.1328735351562, 689.6829223632812]","[1043.169189453125, 818.9584350585938]","[1018.9300537109375, 891.6759643554688]","[1220.923095703125, 722.0017700195312]","[1229.002685546875, 746.2409057617188]","[1439.075439453125, 923.9948120117188]","[1414.8363037109375, 932.0745239257812]"
"[864.1714477539062, 590.3743286132812]","[848.0133056640625, 566.1371459960938]","[839.9342651367188, 574.2161865234375]","[1413.5477294921875, 937.7740478515625]","[791.4598388671875, 606.532470703125]","[848.0133056640625, 679.2440185546875]","[799.5388793945312, 727.7184448242188]","[1001.5155639648438, 760.0347290039062]","[985.357421875, 784.2718505859375]","[936.8829956054688, 695.4021606445312]","[928.803955078125, 687.3230590820312]","[1041.9107666015625, 824.6671752929688]","[1009.5946044921875, 897.3787841796875]","[1219.650146484375, 719.6393432617188]","[1227.729248046875, 743.8765258789062]","[1413.5477294921875, 937.7740478515625]","[1421.6268310546875, 937.7740478515625]"
"[863.7344970703125, 589.4884643554688]","[847.542724609375, 565.2008666992188]","[839.4468383789062, 573.2966918945312]","[1422.3504638671875, 937.6114501953125]","[790.8715209960938, 613.7760620117188]","[847.542724609375, 678.5431518554688]","[798.9674072265625, 727.1184692382812]","[1001.3645629882812, 767.5979614257812]","[985.1727905273438, 783.7897338867188]","[936.5974731445312, 694.7349243164062]","[928.5015869140625, 686.6390991210938]","[1041.843994140625, 824.2691040039062]","[1009.46044921875, 897.1320190429688]","[1219.953369140625, 727.1184692382812]","[1228.04931640625, 743.3102416992188]","[1414.254638671875, 937.6114501953125]","[1422.3504638671875, 937.6114501953125]"
"[855.9598999023438, 593.3218383789062]","[840.603759765625, 570.2876586914062]","[832.9257202148438, 577.9656372070312]","[1408.780029296875, 938.8342895507812]","[779.1793212890625, 616.3558959960938]","[848.2817993164062, 677.7803344726562]","[794.5354614257812, 739.2048950195312]","[994.1649169921875, 762.2390747070312]","[978.8087768554688, 785.2732543945312]","[940.4185180664062, 708.4926147460938]","[925.0624389648438, 685.4584350585938]","[1032.55517578125, 823.6635131835938]","[1009.5210571289062, 900.4440307617188]","[1232.1845703125, 716.1707153320312]","[1232.1845703125, 739.2048950195312]","[1416.4580078125, 915.8001098632812]","[1416.4580078125, 938.8342895507812]"
"[831.1361694335938, 602.7279663085938]","[815.1708374023438, 586.7626342773438]","[807.1881713867188, 594.7453002929688]","[1413.86962890625, 953.9646606445312]","[759.292236328125, 634.6586303710938]","[831.1361694335938, 690.5371704101562]","[783.2401733398438, 754.3983764648438]","[982.8065795898438, 762.3810424804688]","[974.8239135742188, 786.3290405273438]","[918.9453735351562, 698.5198364257812]","[902.9800415039062, 690.5371704101562]","[1030.702392578125, 826.2422485351562]","[998.7719116210938, 898.0861206054688]","[1230.268798828125, 722.4678344726562]","[1230.268798828125, 746.4157104492188]","[1413.86962890625, 922.0341186523438]","[1413.86962890625, 937.9994506835938]"
"[831.6904907226562, 603.9140014648438]","[815.733154296875, 587.9566040039062]","[807.7544555664062, 595.9352416992188]","[775.8397827148438, 651.7860717773438]","[759.8824462890625, 635.8286743164062]","[831.6904907226562, 683.7007446289062]","[783.8184814453125, 755.5088500976562]","[983.285400390625, 763.4874877929688]","[975.3067016601562, 787.4235229492188]","[919.4559936523438, 699.6581420898438]","[903.4985961914062, 691.6793823242188]","[1031.157470703125, 827.3169555664062]","[1007.221435546875, 899.1250610351562]","[1230.624267578125, 723.5941772460938]","[1230.624267578125, 747.5302124023438]","[1406.1552734375, 923.0610961914062]","[1414.1337890625, 939.0183715820312]"
"[824.5758056640625, 606.0963745117188]","[807.9173583984375, 589.4379272460938]","[799.588134765625, 597.7671508789062]","[1424.279541015625, 964.2528076171875]","[749.6128540039062, 639.4132080078125]","[816.24658203125, 697.7177734375]","[774.6004638671875, 756.0223388671875]","[974.5017700195312, 764.3515625]","[966.1725463867188, 789.3392333984375]","[916.1972045898438, 714.376220703125]","[899.5387573242188, 697.7177734375]","[1024.47705078125, 822.6560668945312]","[999.4894409179688, 905.9482421875]","[1224.3782958984375, 722.7054443359375]","[1232.70751953125, 756.0223388671875]","[1407.62109375, 939.2651977539062]","[1424.279541015625, 939.2651977539062]"
"[815.13720703125, 616.0699462890625]","[798.5111694335938, 591.130859375]","[790.1980590820312, 599.4439086914062]","[1421.9886474609375, 973.5304565429688]","[740.3198852539062, 641.0090942382812]","[806.8241577148438, 707.5133666992188]","[773.572021484375, 765.70458984375]","[973.0848999023438, 765.70458984375]","[964.7717895507812, 790.6436767578125]","[906.5806274414062, 715.826416015625]","[889.9545288085938, 699.2003173828125]","[1022.9630737304688, 823.8958740234375]","[998.0239868164062, 907.0261840820312]","[1222.475830078125, 724.139404296875]","[1230.788818359375, 757.3915405273438]","[1405.362548828125, 940.2783203125]","[1421.9886474609375, 931.9652099609375]"
"[804.7955932617188, 621.6481323242188]","[787.67578125, 604.5283813476562]","[779.1159057617188, 604.5283813476562]","[1386.8681640625, 938.3641357421875]","[736.3164672851562, 655.8876953125]","[779.1159057617188, 724.3668212890625]","[770.5560302734375, 767.1663208007812]","[958.8736572265625, 758.6063842773438]","[958.8736572265625, 792.8460083007812]","[898.9544067382812, 715.8069458007812]","[890.39453125, 707.2470703125]","[1018.7929077148438, 827.0855712890625]","[1001.673095703125, 904.1246337890625]","[1224.230224609375, 724.3668212890625]","[1232.7900390625, 758.6063842773438]","[1412.5478515625, 921.2443237304688]","[1421.107666015625, 938.3641357421875]"
"[804.6095581054688, 621.539306640625]","[796.0385131835938, 604.39697265625]","[778.8961791992188, 604.39697265625]","[1387.447021484375, 930.1002197265625]","[736.0404663085938, 655.8237915039062]","[778.8961791992188, 724.3929443359375]","[770.3250122070312, 767.2485961914062]","[958.8900756835938, 758.677490234375]","[958.8900756835938, 784.390869140625]","[907.4633178710938, 724.3929443359375]","[890.3209838867188, 707.2506713867188]","[1018.8880615234375, 827.24658203125]","[1001.7457885742188, 904.3868408203125]","[1224.5953369140625, 724.3929443359375]","[1233.16650390625, 758.677490234375]","[1413.160400390625, 921.5291137695312]","[1421.7314453125, 930.1002197265625]"
"[788.1688842773438, 620.9312133789062]","[779.4573364257812, 603.5081176757812]","[762.0342407226562, 612.2196655273438]","[1389.265380859375, 934.5468139648438]","[718.4765014648438, 664.4889526367188]","[770.7457885742188, 734.1812133789062]","[762.0342407226562, 769.0274047851562]","[953.688232421875, 751.6043090820312]","[953.688232421875, 786.4505004882812]","[901.4189453125, 725.4697875976562]","[883.995849609375, 708.0466918945312]","[1014.6690063476562, 830.0082397460938]","[1005.95751953125, 899.7006225585938]","[1223.74609375, 725.4697875976562]","[1223.74609375, 751.6043090820312]","[1415.4000244140625, 917.1237182617188]","[1415.4000244140625, 934.5468139648438]"
"[781.724609375, 630.6519165039062]","[772.65234375, 612.5073852539062]","[754.5078735351562, 621.5796508789062]","[926.8805541992188, 757.6633911132812]","[700.0744018554688, 666.9408569335938]","[772.65234375, 739.5188598632812]","[763.5801391601562, 784.8800659179688]","[935.9528198242188, 748.5911254882812]","[945.0250244140625, 784.8800659179688]","[890.591552734375, 730.4465942382812]","[872.4470825195312, 712.3021850585938]","[1017.60302734375, 848.3858032226562]","[1008.53076171875, 902.8192749023438]","[1217.1923828125, 721.3743286132812]","[1226.2646484375, 748.5911254882812]","[1416.78173828125, 920.9638061523438]","[1416.78173828125, 939.1083374023438]"
"[781.9310302734375, 630.3863525390625]","[772.8402709960938, 621.295654296875]","[754.6589965820312, 621.295654296875]","[927.3819580078125, 757.6558837890625]","[700.1148071289062, 666.7490844726562]","[772.8402709960938, 739.4745483398438]","[763.7496337890625, 784.927978515625]","[936.4725952148438, 748.5652465820312]","[945.5632934570312, 784.927978515625]","[881.9285278320312, 730.3839111328125]","[872.8378295898438, 712.2025146484375]","[1018.288818359375, 857.6534423828125]","[1000.107421875, 912.1975708007812]","[1218.28369140625, 721.2931518554688]","[1227.37451171875, 748.5652465820312]","[1418.27880859375, 921.2882080078125]","[1418.27880859375, 939.4695434570312]"
"[766.3286743164062, 638.340087890625]","[757.1174926757812, 619.917724609375]","[738.6951293945312, 629.12890625]","[922.9185180664062, 758.0852661132812]","[692.6392822265625, 675.1847534179688]","[784.7510375976562, 721.2406005859375]","[757.1174926757812, 794.929931640625]","[941.3408813476562, 739.6629638671875]","[941.3408813476562, 785.7188110351562]","[886.0739135742188, 730.4517822265625]","[867.6515502929688, 712.0294189453125]","[1015.0302124023438, 850.1969604492188]","[1005.8190307617188, 905.4639892578125]","[1217.6759033203125, 730.4517822265625]","[1226.8870849609375, 758.0852661132812]","[1411.1104736328125, 923.8863525390625]","[1420.3216552734375, 942.3087158203125]"
"[756.5745239257812, 636.33251953125]","[747.1864624023438, 626.9445190429688]","[728.4104614257812, 636.33251953125]","[1394.9603271484375, 964.9134521484375]","[681.4702758789062, 683.2726440429688]","[794.1266479492188, 720.8247680664062]","[747.1864624023438, 805.3170166015625]","[934.9470825195312, 739.600830078125]","[934.9470825195312, 786.5409545898438]","[869.2308349609375, 730.2128295898438]","[859.8428344726562, 720.8247680664062]","[1010.0513305664062, 842.869140625]","[1000.6632690429688, 899.1973266601562]","[1216.5877685546875, 730.2128295898438]","[1225.975830078125, 748.9888305664062]","[1413.736328125, 927.3613891601562]","[1423.12451171875, 946.1375122070312]"
"[751.3223876953125, 646.3626098632812]","[732.5161743164062, 636.9595336914062]","[723.1130981445312, 646.3626098632812]","[911.1749877929688, 759.1997680664062]","[685.500732421875, 702.7811889648438]","[779.5316772460938, 740.3936157226562]","[751.3223876953125, 806.2152709960938]","[958.1904296875, 730.9905395507812]","[939.38427734375, 778.0059204101562]","[873.5625610351562, 730.9905395507812]","[854.7564086914062, 721.5873413085938]","[1005.2058715820312, 853.2307739257812]","[1005.2058715820312, 900.2461547851562]","[1221.47705078125, 730.9905395507812]","[1230.880126953125, 749.7966918945312]","[1409.538818359375, 919.0523071289062]","[1418.94189453125, 937.8585815429688]"
"[751.6370849609375, 637.1788940429688]","[732.8501586914062, 637.1788940429688]","[723.4567260742188, 646.5723266601562]","[911.3261108398438, 759.2940063476562]","[685.8828125, 702.9331665039062]","[770.424072265625, 740.5070190429688]","[761.0305786132812, 806.2612915039062]","[958.29345703125, 731.1135864257812]","[939.5065307617188, 778.0808715820312]","[873.752197265625, 731.1135864257812]","[854.9652709960938, 721.7200317382812]","[1005.2608032226562, 843.8352661132812]","[1005.2608032226562, 900.1961059570312]","[1221.310546875, 731.1135864257812]","[1230.7041015625, 749.9004516601562]","[1409.179931640625, 918.9829711914062]","[1418.573486328125, 937.7698364257812]"
"[740.7868041992188, 655.0883178710938]","[731.2453002929688, 645.5468139648438]","[712.1624145507812, 664.6298217773438]","[893.4501342773438, 769.5857543945312]","[673.99658203125, 712.3370971679688]","[769.4111938476562, 731.4199829101562]","[750.3282470703125, 817.2930297851562]","[950.6988525390625, 721.8784790039062]","[931.6159057617188, 779.1272583007812]","[874.3671875, 740.9614868164062]","[855.2842407226562, 731.4199829101562]","[1007.9475708007812, 845.9175415039062]","[1007.9475708007812, 903.1661987304688]","[1217.859619140625, 731.4199829101562]","[1236.9423828125, 750.5028686523438]","[1408.688720703125, 922.2490844726562]","[1408.688720703125, 941.3320922851562]"
