Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LHSmallToe,LHeel,RBigToe,RHSmallToe,RHeel
"[259.102, 132.763, 0.926211]","[259.107, 160.603, 0.890505]","[241.18, 159.627, 0.830889]","[235.227, 194.445, 0.877604]","[233.221, 219.305, 0.863932]","[280.929, 159.628, 0.838115]","[281.897, 192.425, 0.835219]","[281.937, 220.265, 0.879195]","[258.078, 217.303, 0.777354]","[245.153, 217.282, 0.707363]","[251.077, 266, 0.81807]","[252.126, 312.741, 0.801113]","[269.007, 218.271, 0.721056]","[266.062, 266.038, 0.849537]","[265.981, 312.781, 0.825154]","[257.043, 130.721, 0.901277]","[265.035, 129.801, 0.910314]","[250.082, 131.748, 0.882596]","[270.023, 131.734, 0.823074]","[262.043, 322.683, 0.65382]","[267.041, 321.722, 0.745879]","[265.01, 314.804, 0.632368]","[253.123, 321.743, 0.710592]","[249.113, 321.702, 0.712716]","[255.089, 314.796, 0.623396]"
"[259.084, 131.83, 0.942548]","[259.081, 159.614, 0.892147]","[241.155, 158.62, 0.830002]","[235.2, 193.449, 0.873585]","[234.18, 219.281, 0.915941]","[280.906, 158.644, 0.829684]","[281.879, 190.46, 0.818573]","[281.908, 219.306, 0.888969]","[258.063, 217.268, 0.758215]","[245.137, 216.3, 0.699298]","[251.074, 266.016, 0.824563]","[252.125, 312.745, 0.802373]","[268.044, 217.301, 0.72328]","[266.06, 266.033, 0.847294]","[265.981, 312.772, 0.820266]","[256.088, 129.786, 0.885877]","[265.019, 129.777, 0.893175]","[250.064, 131.725, 0.876885]","[270.007, 130.813, 0.831836]","[262.05, 322.681, 0.643311]","[267.046, 321.717, 0.732151]","[265.009, 314.798, 0.633247]","[253.125, 321.745, 0.70866]","[249.112, 321.703, 0.710823]","[255.087, 314.798, 0.620873]"
"[260.088, 132.798, 0.875721]","[260.046, 157.647, 0.877324]","[242.118, 156.64, 0.872118]","[221.279, 179.526, 0.838962]","[197.431, 203.37, 0.852275]","[280.926, 158.627, 0.833508]","[298.85, 184.463, 0.867938]","[317.73, 210.298, 0.837666]","[258.091, 218.26, 0.80258]","[246.131, 217.278, 0.716072]","[251.066, 266.048, 0.841792]","[252.12, 312.745, 0.806521]","[269.001, 218.305, 0.733928]","[266.068, 266.061, 0.849044]","[265.981, 312.765, 0.821142]","[258.023, 130.759, 0.934702]","[266.002, 130.747, 0.948192]","[250.133, 131.796, 0.929999]","[271.974, 131.757, 0.834079]","[262.044, 321.76, 0.675421]","[267.043, 321.716, 0.769027]","[265.013, 314.803, 0.626795]","[253.117, 321.729, 0.703908]","[249.109, 321.693, 0.701184]","[255.085, 314.804, 0.621434]"
"[259.094, 132.756, 0.932616]","[259.09, 160.591, 0.893235]","[241.169, 159.603, 0.82918]","[235.196, 194.396, 0.875957]","[233.18, 218.334, 0.85096]","[280.916, 159.618, 0.833091]","[281.898, 191.438, 0.830687]","[281.94, 219.327, 0.88768]","[258.058, 217.302, 0.771759]","[244.186, 217.282, 0.714826]","[251.075, 266.01, 0.821033]","[252.124, 312.747, 0.80403]","[268.047, 218.273, 0.727383]","[266.059, 266.047, 0.849462]","[265.98, 312.769, 0.819586]","[256.097, 129.804, 0.894346]","[265.029, 129.794, 0.905454]","[250.07, 131.742, 0.877105]","[270.019, 130.823, 0.820725]","[262.053, 322.678, 0.64385]","[267.046, 321.714, 0.731064]","[265.005, 314.795, 0.630403]","[253.125, 321.746, 0.711567]","[249.113, 321.703, 0.713089]","[255.087, 314.799, 0.623882]"
"[260.087, 132.793, 0.87649]","[260.052, 157.636, 0.87882]","[242.113, 156.62, 0.874572]","[219.311, 178.485, 0.871335]","[194.389, 199.381, 0.813272]","[280.944, 158.633, 0.837505]","[298.899, 180.516, 0.840512]","[321.764, 203.367, 0.906964]","[258.095, 218.277, 0.809211]","[246.13, 217.297, 0.720724]","[251.065, 266.058, 0.840696]","[252.122, 312.742, 0.805669]","[269.01, 218.325, 0.733011]","[266.066, 266.065, 0.849192]","[265.98, 312.768, 0.82215]","[258.022, 130.757, 0.933253]","[266.001, 130.744, 0.945841]","[250.131, 131.798, 0.924374]","[271.974, 131.76, 0.834715]","[262.038, 322.676, 0.68571]","[267.041, 321.721, 0.78058]","[265.014, 314.807, 0.624495]","[253.118, 321.731, 0.707371]","[249.111, 321.696, 0.705131]","[255.085, 314.804, 0.621877]"
"[259.094, 127.776, 0.88127]","[259.1, 153.659, 0.90935]","[243.116, 152.664, 0.86499]","[220.318, 130.739, 0.773984]","[203.335, 106.938, 0.914219]","[275.969, 154.617, 0.848513]","[298.884, 131.797, 0.712035]","[316.736, 113.856, 0.749161]","[258.067, 214.3, 0.762439]","[246.129, 213.307, 0.69623]","[251.076, 266.061, 0.823022]","[252.129, 312.776, 0.80529]","[268.015, 215.299, 0.711953]","[266.053, 266.044, 0.838582]","[265.976, 313.721, 0.828279]","[256.066, 123.875, 0.877769]","[265.048, 123.853, 0.919692]","[250.099, 132.77, 0.889147]","[269.02, 131.809, 0.817465]","[260.091, 322.705, 0.650831]","[267.006, 321.748, 0.753304]","[265.045, 315.754, 0.632855]","[253.096, 322.698, 0.706092]","[249.095, 321.737, 0.70577]","[255.102, 315.741, 0.584057]"
"[259.118, 130.812, 0.935209]","[260.043, 154.607, 0.908033]","[242.163, 153.63, 0.850628]","[211.367, 146.659, 0.731596]","[180.512, 138.696, 0.867762]","[278.959, 154.637, 0.840734]","[306.831, 148.682, 0.730899]","[337.665, 146.639, 0.808414]","[258.062, 216.29, 0.773683]","[245.161, 214.331, 0.70254]","[251.079, 266.989, 0.82662]","[252.127, 312.77, 0.807345]","[268.015, 217.271, 0.728061]","[266.054, 266.055, 0.84083]","[265.976, 313.715, 0.82539]","[257.053, 128.761, 0.8668]","[265.051, 127.784, 0.874819]","[250.118, 131.775, 0.901905]","[270.02, 131.731, 0.826601]","[261.06, 322.689, 0.648213]","[267.02, 321.733, 0.751213]","[265.032, 315.743, 0.630367]","[253.114, 321.752, 0.702603]","[249.11, 321.71, 0.701665]","[255.097, 315.734, 0.591011]"
"[259.097, 126.795, 0.88742]","[259.101, 153.671, 0.910478]","[243.13, 153.623, 0.870092]","[223.28, 130.748, 0.711771]","[205.387, 105.935, 0.847134]","[275.019, 154.633, 0.865949]","[297.863, 130.794, 0.754026]","[314.78, 107.937, 0.761355]","[258.069, 213.337, 0.761919]","[246.133, 212.355, 0.69494]","[251.078, 266.053, 0.820135]","[252.13, 312.769, 0.801724]","[268.018, 215.292, 0.707947]","[266.058, 266.036, 0.83654]","[265.977, 313.719, 0.825058]","[256.065, 123.867, 0.885291]","[265.053, 123.85, 0.924834]","[250.096, 132.784, 0.880235]","[269.022, 132.766, 0.793448]","[261.039, 322.702, 0.655455]","[267.008, 321.746, 0.757268]","[265.043, 315.751, 0.631301]","[253.097, 322.693, 0.705668]","[249.097, 321.731, 0.704757]","[255.103, 315.736, 0.584849]"
"[259.106, 128.793, 0.883768]","[259.1, 153.657, 0.91468]","[242.179, 152.632, 0.853119]","[218.306, 133.746, 0.756972]","[194.455, 114.825, 0.907375]","[276.953, 154.613, 0.838251]","[301.824, 138.686, 0.71598]","[324.711, 118.832, 0.755304]","[258.069, 213.334, 0.762941]","[246.132, 212.355, 0.694912]","[251.074, 266.056, 0.820557]","[252.128, 312.774, 0.803618]","[268.014, 214.332, 0.710389]","[266.054, 266.037, 0.835734]","[265.977, 313.719, 0.825522]","[256.087, 124.821, 0.872621]","[265.046, 124.794, 0.9082]","[250.11, 131.811, 0.90285]","[269.011, 131.767, 0.801206]","[261.042, 322.7, 0.642473]","[267.01, 321.744, 0.745375]","[265.04, 315.75, 0.630403]","[253.097, 322.691, 0.706609]","[249.094, 321.73, 0.704796]","[255.1, 315.738, 0.584063]"
"[260.05, 131.784, 0.922447]","[259.105, 154.691, 0.921308]","[241.183, 154.638, 0.85589]","[209.312, 155.671, 0.739602]","[177.492, 156.651, 0.805221]","[278.961, 155.626, 0.848845]","[306.8, 161.58, 0.78449]","[338.607, 164.58, 0.840237]","[258.071, 216.289, 0.775842]","[246.139, 214.333, 0.699077]","[251.069, 266.035, 0.840668]","[252.117, 312.752, 0.811582]","[268.024, 217.274, 0.727643]","[266.062, 266.033, 0.846949]","[265.982, 312.764, 0.820777]","[257.075, 129.773, 0.897165]","[265.975, 129.755, 0.907568]","[250.117, 131.788, 0.914079]","[270.02, 131.766, 0.841338]","[262.039, 321.75, 0.648691]","[267.032, 321.707, 0.742395]","[265.015, 314.803, 0.622593]","[253.123, 321.728, 0.708595]","[249.114, 321.694, 0.705219]","[255.077, 314.81, 0.617811]"
